State,Condition Group,Condition,COVID-19 Deaths
Utah,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",56
Utah,All other conditions and causes (residual),All other conditions and causes (residual),722
Vermont,Respiratory diseases,Influenza and pneumonia,30
Vermont,Respiratory diseases,Chronic lower respiratory diseases,28
Vermont,Respiratory diseases,Adult respiratory distress syndrome,12
Vermont,Respiratory diseases,Respiratory failure,38
Vermont,Respiratory diseases,Respiratory arrest,
Vermont,Respiratory diseases,Other diseases of the respiratory system,
Vermont,Circulatory diseases,Hypertensive diseases,39
Vermont,Circulatory diseases,Ischemic heart disease,24
Vermont,Circulatory diseases,Cardiac arrest,
Vermont,Circulatory diseases,Cardiac arrhythmia,13
Vermont,Circulatory diseases,Heart failure,16
Vermont,Circulatory diseases,Cerebrovascular diseases,
Vermont,Circulatory diseases,Other diseases of the circulatory system,16
Vermont,Sepsis,Sepsis,
Vermont,Malignant neoplasms,Malignant neoplasms,
Vermont,Diabetes,Diabetes,33
Vermont,Obesity,Obesity,11
Vermont,Alzheimer disease,Alzheimer disease,13
Vermont,Vascular and unspecified dementia,Vascular and unspecified dementia,38
Vermont,Renal failure,Renal failure,13
Vermont,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",
Vermont,All other conditions and causes (residual),All other conditions and causes (residual),84
Virginia,Respiratory diseases,Influenza and pneumonia,2241
Virginia,Respiratory diseases,Chronic lower respiratory diseases,442
Virginia,Respiratory diseases,Adult respiratory distress syndrome,484
Virginia,Respiratory diseases,Respiratory failure,1669
Virginia,Respiratory diseases,Respiratory arrest,40
Virginia,Respiratory diseases,Other diseases of the respiratory system,215
Virginia,Circulatory diseases,Hypertensive diseases,688
Virginia,Circulatory diseases,Ischemic heart disease,515
Virginia,Circulatory diseases,Cardiac arrest,240
Virginia,Circulatory diseases,Cardiac arrhythmia,399
Virginia,Circulatory diseases,Heart failure,454
Virginia,Circulatory diseases,Cerebrovascular diseases,302
Virginia,Circulatory diseases,Other diseases of the circulatory system,318
Virginia,Sepsis,Sepsis,544
Virginia,Malignant neoplasms,Malignant neoplasms,228
Virginia,Diabetes,Diabetes,653
Virginia,Obesity,Obesity,109
Virginia,Alzheimer disease,Alzheimer disease,199
Virginia,Vascular and unspecified dementia,Vascular and unspecified dementia,780
Virginia,Renal failure,Renal failure,564
Virginia,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",99
Virginia,All other conditions and causes (residual),All other conditions and causes (residual),2151
Washington,Respiratory diseases,Influenza and pneumonia,1761
Washington,Respiratory diseases,Chronic lower respiratory diseases,382
Washington,Respiratory diseases,Adult respiratory distress syndrome,576
Washington,Respiratory diseases,Respiratory failure,1546
Washington,Respiratory diseases,Respiratory arrest,94
Washington,Respiratory diseases,Other diseases of the respiratory system,252
Washington,Circulatory diseases,Hypertensive diseases,576
Washington,Circulatory diseases,Ischemic heart disease,369
Washington,Circulatory diseases,Cardiac arrest,270
Washington,Circulatory diseases,Cardiac arrhythmia,329
Washington,Circulatory diseases,Heart failure,373
Washington,Circulatory diseases,Cerebrovascular diseases,261
Washington,Circulatory diseases,Other diseases of the circulatory system,277
Washington,Sepsis,Sepsis,383
Washington,Malignant neoplasms,Malignant neoplasms,192
Washington,Diabetes,Diabetes,617
Washington,Obesity,Obesity,171
Washington,Alzheimer disease,Alzheimer disease,326
Washington,Vascular and unspecified dementia,Vascular and unspecified dementia,434
Washington,Renal failure,Renal failure,373
Washington,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",105
Washington,All other conditions and causes (residual),All other conditions and causes (residual),1883
West Virginia,Respiratory diseases,Influenza and pneumonia,612
West Virginia,Respiratory diseases,Chronic lower respiratory diseases,188
West Virginia,Respiratory diseases,Adult respiratory distress syndrome,179
West Virginia,Respiratory diseases,Respiratory failure,497
West Virginia,Respiratory diseases,Respiratory arrest,16
West Virginia,Respiratory diseases,Other diseases of the respiratory system,60
West Virginia,Circulatory diseases,Hypertensive diseases,207
West Virginia,Circulatory diseases,Ischemic heart disease,190
West Virginia,Circulatory diseases,Cardiac arrest,67
West Virginia,Circulatory diseases,Cardiac arrhythmia,102
West Virginia,Circulatory diseases,Heart failure,131
West Virginia,Circulatory diseases,Cerebrovascular diseases,67
West Virginia,Circulatory diseases,Other diseases of the circulatory system,70
West Virginia,Sepsis,Sepsis,155
West Virginia,Malignant neoplasms,Malignant neoplasms,71
West Virginia,Diabetes,Diabetes,185
West Virginia,Obesity,Obesity,30
West Virginia,Alzheimer disease,Alzheimer disease,71
West Virginia,Vascular and unspecified dementia,Vascular and unspecified dementia,158
West Virginia,Renal failure,Renal failure,162
West Virginia,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25
West Virginia,All other conditions and causes (residual),All other conditions and causes (residual),573
Wisconsin,Respiratory diseases,Influenza and pneumonia,1731
Wisconsin,Respiratory diseases,Chronic lower respiratory diseases,948
Wisconsin,Respiratory diseases,Adult respiratory distress syndrome,283
Wisconsin,Respiratory diseases,Respiratory failure,1458
Wisconsin,Respiratory diseases,Respiratory arrest,41
Wisconsin,Respiratory diseases,Other diseases of the respiratory system,238
Wisconsin,Circulatory diseases,Hypertensive diseases,1858
Wisconsin,Circulatory diseases,Ischemic heart disease,1223
Wisconsin,Circulatory diseases,Cardiac arrest,116
Wisconsin,Circulatory diseases,Cardiac arrhythmia,677
Wisconsin,Circulatory diseases,Heart failure,862
Wisconsin,Circulatory diseases,Cerebrovascular diseases,437
Wisconsin,Circulatory diseases,Other diseases of the circulatory system,596
Wisconsin,Sepsis,Sepsis,275
Wisconsin,Malignant neoplasms,Malignant neoplasms,444
Wisconsin,Diabetes,Diabetes,1315
Wisconsin,Obesity,Obesity,506
Wisconsin,Alzheimer disease,Alzheimer disease,408
Wisconsin,Vascular and unspecified dementia,Vascular and unspecified dementia,993
Wisconsin,Renal failure,Renal failure,543
Wisconsin,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",178
Wisconsin,All other conditions and causes (residual),All other conditions and causes (residual),2873
Wyoming,Respiratory diseases,Influenza and pneumonia,172
Wyoming,Respiratory diseases,Chronic lower respiratory diseases,82
Wyoming,Respiratory diseases,Adult respiratory distress syndrome,38
Wyoming,Respiratory diseases,Respiratory failure,130
Wyoming,Respiratory diseases,Respiratory arrest,
Wyoming,Respiratory diseases,Other diseases of the respiratory system,32
Wyoming,Circulatory diseases,Hypertensive diseases,107
Wyoming,Circulatory diseases,Ischemic heart disease,68
Wyoming,Circulatory diseases,Cardiac arrest,
Wyoming,Circulatory diseases,Cardiac arrhythmia,56
Wyoming,Circulatory diseases,Heart failure,35
Wyoming,Circulatory diseases,Cerebrovascular diseases,29
Wyoming,Circulatory diseases,Other diseases of the circulatory system,48
Wyoming,Sepsis,Sepsis,19
Wyoming,Malignant neoplasms,Malignant neoplasms,21
Wyoming,Diabetes,Diabetes,74
Wyoming,Obesity,Obesity,25
Wyoming,Alzheimer disease,Alzheimer disease,19
Wyoming,Vascular and unspecified dementia,Vascular and unspecified dementia,73
Wyoming,Renal failure,Renal failure,28
Wyoming,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",23
Wyoming,All other conditions and causes (residual),All other conditions and causes (residual),252
Puerto Rico,Respiratory diseases,Influenza and pneumonia,1039
Puerto Rico,Respiratory diseases,Chronic lower respiratory diseases,97
Puerto Rico,Respiratory diseases,Adult respiratory distress syndrome,116
Puerto Rico,Respiratory diseases,Respiratory failure,577
Puerto Rico,Respiratory diseases,Respiratory arrest,49
Puerto Rico,Respiratory diseases,Other diseases of the respiratory system,131
Puerto Rico,Circulatory diseases,Hypertensive diseases,208
Puerto Rico,Circulatory diseases,Ischemic heart disease,121
Puerto Rico,Circulatory diseases,Cardiac arrest,202
Puerto Rico,Circulatory diseases,Cardiac arrhythmia,46
Puerto Rico,Circulatory diseases,Heart failure,101
Puerto Rico,Circulatory diseases,Cerebrovascular diseases,52
Puerto Rico,Circulatory diseases,Other diseases of the circulatory system,64
Puerto Rico,Sepsis,Sepsis,376
Puerto Rico,Malignant neoplasms,Malignant neoplasms,95
Puerto Rico,Diabetes,Diabetes,219
Puerto Rico,Obesity,Obesity,53
Puerto Rico,Alzheimer disease,Alzheimer disease,54
Puerto Rico,Vascular and unspecified dementia,Vascular and unspecified dementia,33
Puerto Rico,Renal failure,Renal failure,231
Puerto Rico,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",57
Puerto Rico,All other conditions and causes (residual),All other conditions and causes (residual),620
